Well,Fluid,Date,Rate
HOMOL-49,Qw,01/04/2007,0
HOMOL-61DES,Qw,01/04/2007,0
HOMOL-62,Qw,01/04/2007,0
HOMOL-63,Qw,01/04/2007,0
HOMOL-1,Qo,01/05/2007,5721.3
HOMOL-102,Qo,01/05/2007,0
HOMOL-21,Qo,01/05/2007,0
HOMOL-3,Qo,01/05/2007,0
HOMOL-4,Qo,01/05/2007,0
HOMOL-41,Qo,01/05/2007,0
HOMOL-45,Qo,01/05/2007,0
HOMOL-47,Qo,01/05/2007,0
HOMOL-49,Qo,01/05/2007,0
HOMOL-61DES,Qo,01/05/2007,0
HOMOL-62,Qo,01/05/2007,0
HOMOL-63,Qo,01/05/2007,0
HOMOL-1,Qg,01/05/2007,6138.7
HOMOL-102,Qg,01/05/2007,0
HOMOL-21,Qg,01/05/2007,0
HOMOL-3,Qg,01/05/2007,0
HOMOL-4,Qg,01/05/2007,0
HOMOL-41,Qg,01/05/2007,0
HOMOL-45,Qg,01/05/2007,0
HOMOL-47,Qg,01/05/2007,0
HOMOL-49,Qg,01/05/2007,0
HOMOL-61DES,Qg,01/05/2007,0
HOMOL-62,Qg,01/05/2007,0
HOMOL-63,Qg,01/05/2007,0
HOMOL-1,Qw,01/05/2007,0
HOMOL-102,Qw,01/05/2007,0
HOMOL-21,Qw,01/05/2007,0
HOMOL-3,Qw,01/05/2007,0
HOMOL-4,Qw,01/05/2007,0
HOMOL-41,Qw,01/05/2007,0
HOMOL-45,Qw,01/05/2007,0
HOMOL-47,Qw,01/05/2007,0
HOMOL-49,Qw,01/05/2007,0
HOMOL-61DES,Qw,01/05/2007,0
HOMOL-62,Qw,01/05/2007,0
HOMOL-63,Qw,01/05/2007,0
HOMOL-1,Qo,01/06/2007,7616.9
HOMOL-102,Qo,01/06/2007,0
HOMOL-21,Qo,01/06/2007,0
HOMOL-3,Qo,01/06/2007,0
HOMOL-4,Qo,01/06/2007,0
HOMOL-41,Qo,01/06/2007,0
HOMOL-45,Qo,01/06/2007,0
HOMOL-47,Qo,01/06/2007,0
HOMOL-49,Qo,01/06/2007,0
HOMOL-61DES,Qo,01/06/2007,0
HOMOL-62,Qo,01/06/2007,0
HOMOL-63,Qo,01/06/2007,0
HOMOL-1,Qg,01/06/2007,8289.5
HOMOL-102,Qg,01/06/2007,0
HOMOL-21,Qg,01/06/2007,0
HOMOL-3,Qg,01/06/2007,0
HOMOL-4,Qg,01/06/2007,0
HOMOL-41,Qg,01/06/2007,0
HOMOL-45,Qg,01/06/2007,0
HOMOL-47,Qg,01/06/2007,0
HOMOL-49,Qg,01/06/2007,0
HOMOL-61DES,Qg,01/06/2007,0
HOMOL-62,Qg,01/06/2007,0
HOMOL-63,Qg,01/06/2007,0
HOMOL-1,Qw,01/06/2007,0
HOMOL-102,Qw,01/06/2007,0
HOMOL-21,Qw,01/06/2007,0
HOMOL-3,Qw,01/06/2007,0
HOMOL-4,Qw,01/06/2007,0
HOMOL-41,Qw,01/06/2007,0
HOMOL-45,Qw,01/06/2007,0
HOMOL-47,Qw,01/06/2007,0
HOMOL-49,Qw,01/06/2007,0
HOMOL-61DES,Qw,01/06/2007,0
HOMOL-62,Qw,01/06/2007,0
HOMOL-63,Qw,01/06/2007,0
HOMOL-1,Qo,01/07/2007,7626.1
HOMOL-102,Qo,01/07/2007,0
HOMOL-21,Qo,01/07/2007,0
HOMOL-3,Qo,01/07/2007,0
HOMOL-4,Qo,01/07/2007,0
HOMOL-41,Qo,01/07/2007,0
HOMOL-45,Qo,01/07/2007,0
HOMOL-47,Qo,01/07/2007,0
HOMOL-49,Qo,01/07/2007,0
HOMOL-61DES,Qo,01/07/2007,0
HOMOL-62,Qo,01/07/2007,0
HOMOL-63,Qo,01/07/2007,0
HOMOL-1,Qg,01/07/2007,8304.5
HOMOL-102,Qg,01/07/2007,0
HOMOL-21,Qg,01/07/2007,0
HOMOL-3,Qg,01/07/2007,0
HOMOL-4,Qg,01/07/2007,0
HOMOL-41,Qg,01/07/2007,0
HOMOL-45,Qg,01/07/2007,0
HOMOL-47,Qg,01/07/2007,0
HOMOL-49,Qg,01/07/2007,0
HOMOL-61DES,Qg,01/07/2007,0
HOMOL-62,Qg,01/07/2007,0
HOMOL-63,Qg,01/07/2007,0
HOMOL-1,Qw,01/07/2007,0
HOMOL-102,Qw,01/07/2007,0
HOMOL-21,Qw,01/07/2007,0
HOMOL-3,Qw,01/07/2007,0
HOMOL-4,Qw,01/07/2007,0
HOMOL-41,Qw,01/07/2007,0
HOMOL-45,Qw,01/07/2007,0
HOMOL-47,Qw,01/07/2007,0
HOMOL-49,Qw,01/07/2007,0
HOMOL-61DES,Qw,01/07/2007,0
HOMOL-62,Qw,01/07/2007,0
HOMOL-63,Qw,01/07/2007,0
HOMOL-1,Qo,01/08/2007,7616.9
HOMOL-102,Qo,01/08/2007,0
HOMOL-21,Qo,01/08/2007,0
HOMOL-3,Qo,01/08/2007,0
HOMOL-4,Qo,01/08/2007,0
HOMOL-41,Qo,01/08/2007,0
HOMOL-45,Qo,01/08/2007,0
HOMOL-47,Qo,01/08/2007,0
HOMOL-49,Qo,01/08/2007,0
HOMOL-61DES,Qo,01/08/2007,0
HOMOL-62,Qo,01/08/2007,0
HOMOL-63,Qo,01/08/2007,0
HOMOL-1,Qg,01/08/2007,8263.6
HOMOL-102,Qg,01/08/2007,0
HOMOL-21,Qg,01/08/2007,0
HOMOL-3,Qg,01/08/2007,0
HOMOL-4,Qg,01/08/2007,0
HOMOL-41,Qg,01/08/2007,0
HOMOL-45,Qg,01/08/2007,0
HOMOL-47,Qg,01/08/2007,0
HOMOL-49,Qg,01/08/2007,0
HOMOL-61DES,Qg,01/08/2007,0
HOMOL-62,Qg,01/08/2007,0
HOMOL-63,Qg,01/08/2007,0
HOMOL-1,Qw,01/08/2007,0
HOMOL-102,Qw,01/08/2007,0
HOMOL-21,Qw,01/08/2007,0
HOMOL-3,Qw,01/08/2007,0
HOMOL-4,Qw,01/08/2007,0
HOMOL-41,Qw,01/08/2007,0
HOMOL-45,Qw,01/08/2007,0
HOMOL-47,Qw,01/08/2007,0
HOMOL-49,Qw,01/08/2007,0
HOMOL-61DES,Qw,01/08/2007,0
HOMOL-62,Qw,01/08/2007,0
HOMOL-63,Qw,01/08/2007,0
HOMOL-1,Qo,01/09/2007,7616.9
HOMOL-102,Qo,01/09/2007,0
HOMOL-21,Qo,01/09/2007,0
HOMOL-3,Qo,01/09/2007,0
HOMOL-4,Qo,01/09/2007,0
HOMOL-41,Qo,01/09/2007,0
HOMOL-45,Qo,01/09/2007,0
HOMOL-47,Qo,01/09/2007,0
HOMOL-49,Qo,01/09/2007,0
HOMOL-61DES,Qo,01/09/2007,0
HOMOL-62,Qo,01/09/2007,0
HOMOL-63,Qo,01/09/2007,0
HOMOL-1,Qg,01/09/2007,8260.1
HOMOL-102,Qg,01/09/2007,0
HOMOL-21,Qg,01/09/2007,0
HOMOL-3,Qg,01/09/2007,0
HOMOL-4,Qg,01/09/2007,0
HOMOL-41,Qg,01/09/2007,0
HOMOL-45,Qg,01/09/2007,0
HOMOL-47,Qg,01/09/2007,0
HOMOL-49,Qg,01/09/2007,0
HOMOL-61DES,Qg,01/09/2007,0
HOMOL-62,Qg,01/09/2007,0
HOMOL-63,Qg,01/09/2007,0
HOMOL-1,Qw,01/09/2007,0
HOMOL-102,Qw,01/09/2007,0
HOMOL-21,Qw,01/09/2007,0
HOMOL-3,Qw,01/09/2007,0
HOMOL-4,Qw,01/09/2007,0
HOMOL-41,Qw,01/09/2007,0
HOMOL-45,Qw,01/09/2007,0
HOMOL-47,Qw,01/09/2007,0
HOMOL-49,Qw,01/09/2007,0
HOMOL-61DES,Qw,01/09/2007,0
HOMOL-62,Qw,01/09/2007,0
HOMOL-63,Qw,01/09/2007,0
HOMOL-1,Qo,01/10/2007,7582.7
HOMOL-102,Qo,01/10/2007,0
HOMOL-21,Qo,01/10/2007,0
HOMOL-3,Qo,01/10/2007,0
HOMOL-4,Qo,01/10/2007,0
HOMOL-41,Qo,01/10/2007,0
HOMOL-45,Qo,01/10/2007,0
HOMOL-47,Qo,01/10/2007,0
HOMOL-49,Qo,01/10/2007,0
HOMOL-61DES,Qo,01/10/2007,0
HOMOL-62,Qo,01/10/2007,0
HOMOL-63,Qo,01/10/2007,0
HOMOL-1,Qg,01/10/2007,8221.1
HOMOL-102,Qg,01/10/2007,0
HOMOL-21,Qg,01/10/2007,0
HOMOL-3,Qg,01/10/2007,0
HOMOL-4,Qg,01/10/2007,0
HOMOL-41,Qg,01/10/2007,0
HOMOL-45,Qg,01/10/2007,0
HOMOL-47,Qg,01/10/2007,0
HOMOL-49,Qg,01/10/2007,0
HOMOL-61DES,Qg,01/10/2007,0
HOMOL-62,Qg,01/10/2007,0
HOMOL-63,Qg,01/10/2007,0
HOMOL-1,Qw,01/10/2007,0
HOMOL-102,Qw,01/10/2007,0
HOMOL-21,Qw,01/10/2007,0
HOMOL-3,Qw,01/10/2007,0
HOMOL-4,Qw,01/10/2007,0
HOMOL-41,Qw,01/10/2007,0
HOMOL-45,Qw,01/10/2007,0
HOMOL-47,Qw,01/10/2007,0
HOMOL-49,Qw,01/10/2007,0
HOMOL-61DES,Qw,01/10/2007,0
HOMOL-62,Qw,01/10/2007,0
HOMOL-63,Qw,01/10/2007,0
HOMOL-1,Qo,01/11/2007,7616.9
HOMOL-102,Qo,01/11/2007,0
HOMOL-21,Qo,01/11/2007,0
HOMOL-3,Qo,01/11/2007,0
HOMOL-4,Qo,01/11/2007,0
HOMOL-41,Qo,01/11/2007,0
HOMOL-45,Qo,01/11/2007,0
HOMOL-47,Qo,01/11/2007,0
HOMOL-49,Qo,01/11/2007,0
HOMOL-61DES,Qo,01/11/2007,0
HOMOL-62,Qo,01/11/2007,0
HOMOL-63,Qo,01/11/2007,0
HOMOL-1,Qg,01/11/2007,8260.1
HOMOL-102,Qg,01/11/2007,0
HOMOL-21,Qg,01/11/2007,0
HOMOL-3,Qg,01/11/2007,0
HOMOL-4,Qg,01/11/2007,0
HOMOL-41,Qg,01/11/2007,0
HOMOL-45,Qg,01/11/2007,0
HOMOL-47,Qg,01/11/2007,0
HOMOL-49,Qg,01/11/2007,0
HOMOL-61DES,Qg,01/11/2007,0
HOMOL-62,Qg,01/11/2007,0
HOMOL-63,Qg,01/11/2007,0
HOMOL-1,Qw,01/11/2007,0
HOMOL-102,Qw,01/11/2007,0
HOMOL-21,Qw,01/11/2007,0
HOMOL-3,Qw,01/11/2007,0
HOMOL-4,Qw,01/11/2007,0
HOMOL-41,Qw,01/11/2007,0
HOMOL-45,Qw,01/11/2007,0
HOMOL-47,Qw,01/11/2007,0
HOMOL-49,Qw,01/11/2007,0
HOMOL-61DES,Qw,01/11/2007,0
HOMOL-62,Qw,01/11/2007,0
HOMOL-63,Qw,01/11/2007,0
HOMOL-1,Qo,01/12/2007,7532.9
HOMOL-102,Qo,01/12/2007,0
HOMOL-21,Qo,01/12/2007,0
HOMOL-3,Qo,01/12/2007,0
HOMOL-4,Qo,01/12/2007,0
HOMOL-41,Qo,01/12/2007,0
HOMOL-45,Qo,01/12/2007,0
HOMOL-47,Qo,01/12/2007,0
HOMOL-49,Qo,01/12/2007,0
HOMOL-61DES,Qo,01/12/2007,0
HOMOL-62,Qo,01/12/2007,0
HOMOL-63,Qo,01/12/2007,0
HOMOL-1,Qg,01/12/2007,8171
HOMOL-102,Qg,01/12/2007,0
HOMOL-21,Qg,01/12/2007,0
HOMOL-3,Qg,01/12/2007,0
HOMOL-4,Qg,01/12/2007,0
HOMOL-41,Qg,01/12/2007,0
HOMOL-45,Qg,01/12/2007,0
HOMOL-47,Qg,01/12/2007,0
HOMOL-49,Qg,01/12/2007,0
HOMOL-61DES,Qg,01/12/2007,0
HOMOL-62,Qg,01/12/2007,0
HOMOL-63,Qg,01/12/2007,0
HOMOL-1,Qw,01/12/2007,0
HOMOL-102,Qw,01/12/2007,0
HOMOL-21,Qw,01/12/2007,0
HOMOL-3,Qw,01/12/2007,0
HOMOL-4,Qw,01/12/2007,0
HOMOL-41,Qw,01/12/2007,0
HOMOL-45,Qw,01/12/2007,0
HOMOL-47,Qw,01/12/2007,0
HOMOL-49,Qw,01/12/2007,0
HOMOL-61DES,Qw,01/12/2007,0
HOMOL-62,Qw,01/12/2007,0
HOMOL-63,Qw,01/12/2007,0
HOMOL-1,Qo,01/01/2008,7603.9
HOMOL-102,Qo,01/01/2008,0
HOMOL-21,Qo,01/01/2008,0
HOMOL-3,Qo,01/01/2008,800.3
HOMOL-4,Qo,01/01/2008,0
HOMOL-41,Qo,01/01/2008,0
HOMOL-45,Qo,01/01/2008,0
HOMOL-47,Qo,01/01/2008,0
HOMOL-49,Qo,01/01/2008,0
HOMOL-61DES,Qo,01/01/2008,0
HOMOL-62,Qo,01/01/2008,0
HOMOL-63,Qo,01/01/2008,0
HOMOL-1,Qg,01/01/2008,8195
HOMOL-102,Qg,01/01/2008,0
HOMOL-21,Qg,01/01/2008,0
HOMOL-3,Qg,01/01/2008,947.3
HOMOL-4,Qg,01/01/2008,0
HOMOL-41,Qg,01/01/2008,0
HOMOL-45,Qg,01/01/2008,0
HOMOL-47,Qg,01/01/2008,0
HOMOL-49,Qg,01/01/2008,0
HOMOL-61DES,Qg,01/01/2008,0
HOMOL-62,Qg,01/01/2008,0
HOMOL-63,Qg,01/01/2008,0
HOMOL-1,Qw,01/01/2008,0
HOMOL-102,Qw,01/01/2008,0
HOMOL-21,Qw,01/01/2008,0
HOMOL-3,Qw,01/01/2008,505.5
HOMOL-4,Qw,01/01/2008,0
HOMOL-41,Qw,01/01/2008,0
HOMOL-45,Qw,01/01/2008,0
HOMOL-47,Qw,01/01/2008,0
HOMOL-49,Qw,01/01/2008,0
HOMOL-61DES,Qw,01/01/2008,0
HOMOL-62,Qw,01/01/2008,0
HOMOL-63,Qw,01/01/2008,0
HOMOL-1,Qo,01/02/2008,7224.5
HOMOL-102,Qo,01/02/2008,0
HOMOL-21,Qo,01/02/2008,0
HOMOL-3,Qo,01/02/2008,2381.6
HOMOL-4,Qo,01/02/2008,0
HOMOL-41,Qo,01/02/2008,0
HOMOL-45,Qo,01/02/2008,0
HOMOL-47,Qo,01/02/2008,0
HOMOL-49,Qo,01/02/2008,0
HOMOL-61DES,Qo,01/02/2008,0
HOMOL-62,Qo,01/02/2008,0
HOMOL-63,Qo,01/02/2008,0
HOMOL-1,Qg,01/02/2008,7054.2
HOMOL-102,Qg,01/02/2008,0
HOMOL-21,Qg,01/02/2008,0
HOMOL-3,Qg,01/02/2008,3450.9
HOMOL-4,Qg,01/02/2008,0
HOMOL-41,Qg,01/02/2008,0
HOMOL-45,Qg,01/02/2008,0
HOMOL-47,Qg,01/02/2008,0
HOMOL-49,Qg,01/02/2008,0
HOMOL-61DES,Qg,01/02/2008,0
HOMOL-62,Qg,01/02/2008,0
HOMOL-63,Qg,01/02/2008,0
HOMOL-1,Qw,01/02/2008,0
HOMOL-102,Qw,01/02/2008,0
HOMOL-21,Qw,01/02/2008,0
HOMOL-3,Qw,01/02/2008,852.6
HOMOL-4,Qw,01/02/2008,0
HOMOL-41,Qw,01/02/2008,0
HOMOL-45,Qw,01/02/2008,0
HOMOL-47,Qw,01/02/2008,0
HOMOL-49,Qw,01/02/2008,0
HOMOL-61DES,Qw,01/02/2008,0
HOMOL-62,Qw,01/02/2008,0
HOMOL-63,Qw,01/02/2008,0
HOMOL-1,Qo,01/03/2008,7887.4
HOMOL-102,Qo,01/03/2008,0
HOMOL-21,Qo,01/03/2008,0
HOMOL-3,Qo,01/03/2008,2377.5
HOMOL-4,Qo,01/03/2008,0
HOMOL-41,Qo,01/03/2008,0
HOMOL-45,Qo,01/03/2008,0
HOMOL-47,Qo,01/03/2008,0
HOMOL-49,Qo,01/03/2008,0
HOMOL-61DES,Qo,01/03/2008,0
HOMOL-62,Qo,01/03/2008,0
HOMOL-63,Qo,01/03/2008,0
HOMOL-1,Qg,01/03/2008,7620.9
HOMOL-102,Qg,01/03/2008,0
HOMOL-21,Qg,01/03/2008,0
HOMOL-3,Qg,01/03/2008,3616.2
HOMOL-4,Qg,01/03/2008,0
HOMOL-41,Qg,01/03/2008,0
HOMOL-45,Qg,01/03/2008,0
HOMOL-47,Qg,01/03/2008,0
HOMOL-49,Qg,01/03/2008,0
HOMOL-61DES,Qg,01/03/2008,0
HOMOL-62,Qg,01/03/2008,0
HOMOL-63,Qg,01/03/2008,0
HOMOL-1,Qw,01/03/2008,0
HOMOL-102,Qw,01/03/2008,0
HOMOL-21,Qw,01/03/2008,0
HOMOL-3,Qw,01/03/2008,1151
HOMOL-4,Qw,01/03/2008,0
HOMOL-41,Qw,01/03/2008,0
HOMOL-45,Qw,01/03/2008,0
HOMOL-47,Qw,01/03/2008,0
HOMOL-49,Qw,01/03/2008,0
HOMOL-61DES,Qw,01/03/2008,0
HOMOL-62,Qw,01/03/2008,0
HOMOL-63,Qw,01/03/2008,0
HOMOL-1,Qo,01/04/2008,7887.4
HOMOL-102,Qo,01/04/2008,0
HOMOL-21,Qo,01/04/2008,0
HOMOL-3,Qo,01/04/2008,2377.5
HOMOL-4,Qo,01/04/2008,0
HOMOL-41,Qo,01/04/2008,0
HOMOL-45,Qo,01/04/2008,0
HOMOL-47,Qo,01/04/2008,0
HOMOL-49,Qo,01/04/2008,0
HOMOL-61DES,Qo,01/04/2008,0
HOMOL-62,Qo,01/04/2008,0
HOMOL-63,Qo,01/04/2008,0
HOMOL-1,Qg,01/04/2008,7882.2
HOMOL-102,Qg,01/04/2008,0
HOMOL-21,Qg,01/04/2008,0
HOMOL-3,Qg,01/04/2008,3354.9
HOMOL-4,Qg,01/04/2008,0
HOMOL-41,Qg,01/04/2008,0
HOMOL-45,Qg,01/04/2008,0
HOMOL-47,Qg,01/04/2008,0
HOMOL-49,Qg,01/04/2008,0
HOMOL-61DES,Qg,01/04/2008,0
HOMOL-62,Qg,01/04/2008,0
HOMOL-63,Qg,01/04/2008,0
HOMOL-1,Qw,01/04/2008,0
HOMOL-102,Qw,01/04/2008,0
HOMOL-21,Qw,01/04/2008,0
HOMOL-3,Qw,01/04/2008,1132.2
HOMOL-4,Qw,01/04/2008,0
HOMOL-41,Qw,01/04/2008,0
HOMOL-45,Qw,01/04/2008,0
HOMOL-47,Qw,01/04/2008,0
HOMOL-49,Qw,01/04/2008,0
HOMOL-61DES,Qw,01/04/2008,0
HOMOL-62,Qw,01/04/2008,0
HOMOL-63,Qw,01/04/2008,0
HOMOL-1,Qo,01/05/2008,7692.4
HOMOL-102,Qo,01/05/2008,0
HOMOL-21,Qo,01/05/2008,0
HOMOL-3,Qo,01/05/2008,2572.5
HOMOL-4,Qo,01/05/2008,0
HOMOL-41,Qo,01/05/2008,0
HOMOL-45,Qo,01/05/2008,0
HOMOL-47,Qo,01/05/2008,0
HOMOL-49,Qo,01/05/2008,0
HOMOL-61DES,Qo,01/05/2008,0
HOMOL-62,Qo,01/05/2008,0
HOMOL-63,Qo,01/05/2008,0
HOMOL-1,Qg,01/05/2008,7786.9
HOMOL-102,Qg,01/05/2008,0
HOMOL-21,Qg,01/05/2008,0
HOMOL-3,Qg,01/05/2008,3450.2
HOMOL-4,Qg,01/05/2008,0
HOMOL-41,Qg,01/05/2008,0
HOMOL-45,Qg,01/05/2008,0
HOMOL-47,Qg,01/05/2008,0
HOMOL-49,Qg,01/05/2008,0
HOMOL-61DES,Qg,01/05/2008,0
HOMOL-62,Qg,01/05/2008,0
HOMOL-63,Qg,01/05/2008,0
HOMOL-1,Qw,01/05/2008,0
HOMOL-102,Qw,01/05/2008,0
HOMOL-21,Qw,01/05/2008,0
HOMOL-3,Qw,01/05/2008,1094.4
HOMOL-4,Qw,01/05/2008,0
HOMOL-41,Qw,01/05/2008,0
HOMOL-45,Qw,01/05/2008,0
HOMOL-47,Qw,01/05/2008,0
HOMOL-49,Qw,01/05/2008,0
HOMOL-61DES,Qw,01/05/2008,0
HOMOL-62,Qw,01/05/2008,0
HOMOL-63,Qw,01/05/2008,0
HOMOL-1,Qo,01/06/2008,7692.4
HOMOL-102,Qo,01/06/2008,0
HOMOL-21,Qo,01/06/2008,0
HOMOL-3,Qo,01/06/2008,2297.7
HOMOL-4,Qo,01/06/2008,1394.2
HOMOL-41,Qo,01/06/2008,0
HOMOL-45,Qo,01/06/2008,0
HOMOL-47,Qo,01/06/2008,0
HOMOL-49,Qo,01/06/2008,0
HOMOL-61DES,Qo,01/06/2008,0
HOMOL-62,Qo,01/06/2008,0
HOMOL-63,Qo,01/06/2008,0
HOMOL-1,Qg,01/06/2008,7774.2
HOMOL-102,Qg,01/06/2008,0
HOMOL-21,Qg,01/06/2008,0
HOMOL-3,Qg,01/06/2008,3382.2
HOMOL-4,Qg,01/06/2008,1575.8
HOMOL-41,Qg,01/06/2008,0
HOMOL-45,Qg,01/06/2008,0
HOMOL-47,Qg,01/06/2008,0
HOMOL-49,Qg,01/06/2008,0
HOMOL-61DES,Qg,01/06/2008,0
HOMOL-62,Qg,01/06/2008,0
HOMOL-63,Qg,01/06/2008,0
HOMOL-1,Qw,01/06/2008,0
HOMOL-102,Qw,01/06/2008,0
HOMOL-21,Qw,01/06/2008,0
HOMOL-3,Qw,01/06/2008,1420.9
HOMOL-4,Qw,01/06/2008,15.3
HOMOL-41,Qw,01/06/2008,0
HOMOL-45,Qw,01/06/2008,0
HOMOL-47,Qw,01/06/2008,0
HOMOL-49,Qw,01/06/2008,0
HOMOL-61DES,Qw,01/06/2008,0
HOMOL-62,Qw,01/06/2008,0
HOMOL-63,Qw,01/06/2008,0
HOMOL-1,Qo,01/07/2008,7480.9
HOMOL-102,Qo,01/07/2008,0
HOMOL-21,Qo,01/07/2008,0
HOMOL-3,Qo,01/07/2008,2079.7
